Rank,Release Group,Worldwide,Domestic,%,Foreign,%
78,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
79,Reminiscence,"$17,369,819","$3,792,816",21.8%,"$13,577,003",78.2%
80,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
81,The Dry,"$16,984,586","$364,237",2.1%,"$16,620,349",97.9%
82,Stillwater,"$16,636,050","$14,283,885",85.9%,"$2,352,165",14.1%
83,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
84,Minari,"$15,380,367","$3,110,580",20.2%,"$12,269,787",79.8%
85,Heavily in Love 2,"$15,204,017",-,-,"$15,204,017",100%
86,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$13,995,001",-,-,"$13,995,001",100%
87,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
88,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
89,No Escapes,"$12,764,751",-,-,"$12,764,751",100%
90,Character,"$12,571,501",-,-,"$12,571,501",100%
91,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
92,Hostage: Missing Celebrity,"$11,722,849",-,-,"$11,722,849",100%
93,OSS 117: From Africa with Love,"$11,427,604",-,-,"$11,427,604",100%
94,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
95,Krack,"$10,442,916",-,-,"$10,442,916",100%
96,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
97,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
98,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
99,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
100,The Soul,"$9,600,000",-,-,"$9,600,000",100%
101,After We Fell,"$9,200,144",-,-,"$9,200,144",100%
102,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
103,¡A todo tren! Destino Asturias,"$8,829,755",-,-,"$8,829,755",100%
104,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
105,Kaiserschmarrndrama,"$8,473,121",-,-,"$8,473,121",100%
106,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
107,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
108,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
109,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
110,The Night House,"$7,977,523","$6,419,926",80.5%,"$1,557,597",19.5%
111,Hard Hit,"$7,901,585",-,-,"$7,901,585",100%
112,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
113,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
114,The Protege,"$7,428,861","$7,026,230",94.6%,"$402,631",5.4%
115,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
116,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
117,The Medium,"$7,334,263",-,-,"$7,334,263",100%
118,Dad,"$7,200,771",-,-,"$7,200,771",100%
119,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
120,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
121,Extinct,"$6,809,024",-,-,"$6,809,024",100%
122,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
123,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
124,Seobok,"$6,778,823",-,-,"$6,778,823",100%
125,Silver Skates,"$6,675,021",-,-,"$6,675,021",100%
126,The Stronghold,"$6,618,937",-,-,"$6,618,937",100%
127,Dream Horse,"$6,605,430","$2,913,328",44.1%,"$3,692,102",55.9%
128,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
129,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
130,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
131,Penguin Bloom,"$6,154,872",-,-,"$6,154,872",100%
132,The Forgotten Battle,"$5,761,734",-,-,"$5,761,734",100%
133,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
134,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
135,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
136,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
137,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
138,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
139,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
140,Roadrunner: A Film About Anthony Bourdain,"$5,249,970","$5,249,970",100%,-,-
141,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
142,Poly,"$5,236,154",-,-,"$5,236,154",100%
143,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
144,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
145,Red,"$4,920,261",-,-,"$4,920,261",100%
146,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
147,Kaguya-sama: Love Is War,"$4,856,089",-,-,"$4,856,089",100%
148,Ainbo,"$4,836,971",-,-,"$4,836,971",100%
149,Palma,"$4,738,223",-,-,"$4,738,223",100%
150,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
151,Wrong Turn,"$4,510,184","$1,251,184",27.7%,"$3,259,000",72.3%
152,Separation,"$4,509,143","$4,509,143",100%,-,-
153,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
154,Luizenmoeder - De film,"$4,468,039",-,-,"$4,468,039",100%
155,Prababushka lyogkogo povedeniya,"$4,424,649",-,-,"$4,424,649",100%
156,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
157,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
158,Me contro te - Il mistero della scuola incantata,"$4,330,810",-,-,"$4,330,810",100%
159,The Ice Road,"$4,304,088",-,-,"$4,304,088",100%
160,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
161,Voyagers,"$4,298,184","$3,149,935",73.3%,"$1,148,249",26.7%
162,Ostwind - Der große Orkan,"$4,217,300",-,-,"$4,217,300",100%
163,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
164,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
165,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$4,111,708",-,-,"$4,111,708",100%
166,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
167,Family Swap,"$4,059,745",-,-,"$4,059,745",100%
168,Operación Camarón,"$3,891,228",-,-,"$3,891,228",100%
169,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
170,Karnan,"$3,817,585",-,-,"$3,817,585",100%
171,Operation Portugal,"$3,795,575","$1,096",<0.1%,"$3,794,479",100%
172,The Blood of Wolves,"$3,758,027",-,-,"$3,758,027",100%
173,12 Mighty Orphans,"$3,643,594","$3,643,594",100%,-,-
174,Lie Detector,"$3,600,000",-,-,"$3,600,000",100%
175,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
176,Presidents,"$3,569,522",-,-,"$3,569,522",100%
177,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
178,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
179,Catweazle,"$3,485,442",-,-,"$3,485,442",100%
180,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
181,Finding You,"$3,326,885","$2,753,985",82.8%,"$572,900",17.2%
182,Fate Grand Order: The Grand Temple of Time,"$3,308,000",-,-,"$3,308,000",100%
183,"Prvok, Sampon, Tecka a Karel","$3,293,419",-,-,"$3,293,419",100%
184,Go Brother! 2,"$3,240,000",-,-,"$3,240,000",100%
185,Pig,"$3,227,744","$3,158,312",97.8%,"$69,432",2.2%
186,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
187,I'll Meet You There,"$3,208,586",-,-,"$3,208,586",100%
188,Mesh Ana,"$3,204,032",-,-,"$3,204,032",100%
189,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
190,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
191,Land,"$3,162,681","$2,577,830",81.5%,"$584,851",18.5%
192,French Tech,"$3,158,212",-,-,"$3,158,212",100%
193,Un tour chez ma fille,"$3,141,536",-,-,"$3,141,536",100%
194,The Waiter,"$3,098,685",-,-,"$3,098,685",100%
195,Supernova,"$2,934,945","$234,220",8%,"$2,700,725",92%
196,The House Next Door: Meet the Blacks 2,"$2,893,660","$2,893,660",100%,-,-
197,Annette,"$2,874,270",-,-,"$2,874,270",100%
198,An Egg Rescue,"$2,852,443","$684,508",24%,"$2,167,935",76%
199,Here Today,"$2,807,494","$2,807,494",100%,-,-
200,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$2,805,517","$2,320,649",82.7%,"$484,868",17.3%
