Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1%
2,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.6%,"$691,276,000",67.4%
3,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.3%,"$680,553,613",69.7%
4,Inception,"$826,137,188","$292,576,195",35.4%,"$533,560,993",64.6%
5,Shrek Forever After,"$752,600,867","$238,736,787",31.7%,"$513,864,080",68.3%
6,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%
7,Iron Man 2,"$623,933,331","$312,433,331",50.1%,"$311,500,000",49.9%
8,Tangled,"$592,461,732","$200,821,936",33.9%,"$391,639,796",66.1%
9,Despicable Me,"$543,113,985","$251,513,985",46.3%,"$291,600,000",53.7%
10,How to Train Your Dragon,"$494,878,759","$217,581,231",44%,"$277,297,528",56%
11,Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%
12,The King's Speech,"$423,999,102","$135,453,143",31.9%,"$288,545,959",68.1%
13,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%
14,TRON: Legacy,"$400,062,763","$172,062,763",43%,"$228,000,000",57%
15,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%
16,Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%
17,Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%
18,Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%
19,The Last Airbender,"$319,713,881","$131,772,187",41.2%,"$187,941,694",58.8%
20,Little Fockers,"$310,650,585","$148,438,600",47.8%,"$162,211,985",52.2%
21,Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%
22,Shutter Island,"$294,804,195","$128,012,934",43.4%,"$166,791,261",56.6%
23,Salt,"$293,503,354","$118,311,368",40.3%,"$175,191,986",59.7%
